gene_id	Bark1	Bark2	Bark3	Flower1	Flower2	Flower3	Fruit1	Fruit2	Fruit3	Leaf1	Leaf2	Leaf3	Root1	Root2	Root3	Wood1	Wood2	Wood3
Khe04706	0.51	0.78	0.85	0.02	0.12	0.05	0.33	0.42	0.35	0	0	0	0	0	0.03	0	0	0
Khe04802	0.06	0	0.08	0.04	0	0	0	0.1	0	0	0	0	0	0.03	0	0	0	0.06
Khe05026	0	0	0	0.76	1.05	0.92	0	0	0	0	0	0	0	0.03	0.08	0	0	0
Khe05027	0	0	0	0.49	0.72	0.49	0	0	0	0	0	0	0	0.05	0.04	0	0	0
Khe05028	0	0	0	6.25	5.92	6.03	0	0	0	0	0	0	0	0	0	0	0	0
Khe05039	1.38	1.49	1.38	37.14	35.69	37.04	7.9	7.51	8.23	0.1	0.02	0.02	0	0.41	0.53	1.56	2.71	1.98
Khe05068	401.22	372.99	402.73	261.48	243.81	252.77	183.8	185.17	181.81	238.8	245.44	248.93	316.34	403.97	419.35	731.59	728.74	717.94
Khe05160	1.94	2.02	1.4	0	0	0.06	0.02	0.03	0	0.03	0	0	16.11	37.17	39.25	0.17	0.11	0.27
Khe05471	1.23	2.04	0.86	3.71	4.31	3.14	2.57	3.19	4.01	1.02	0.93	0.82	5.61	2.98	3.68	1.49	1.23	1.63
Khe05491	0	0	0	0	0	0	8.82	8.75	9.94	0	0	0	0	0.01	0.07	0	0.05	0.03
Khe05493	0.02	0.04	0.07	0	0	0	53.77	52.21	58.85	0.02	0	0	0.21	0	0.08	0.13	0.06	0.02
Khe05494	0	0	0	0	0	0	0.2	0.09	0.13	0	0	0	0	0	0	0	0	0
Khe05779	0.21	0.07	0.19	0	0.01	0	0.01	0.06	0	0	0	0.03	0.02	0.26	0.19	0.03	0.04	0.04
Khe05954	45.79	51.06	47.88	21.21	20.88	18.1	5.36	5.39	4.9	0.28	0.21	0.24	16	3.17	3.44	1.73	1.64	1.83
Khe06018	44.26	42.96	44.43	0.08	0.04	0.05	1.31	1.02	1.38	0.22	0.35	0.28	4.81	6.42	7.02	3.84	4.68	4.45
Khe06062	1.7	1.4	1.3	2.32	2.13	2.57	2.84	3.63	3.82	1	0.9	1.14	2.43	1.52	1.52	0.79	0.94	1.18
Khe06082	11.2	11.34	10.84	22.05	23.11	24.91	42.19	44.16	42.98	23	20.49	21.6	61.77	78.76	82.67	12.31	13.92	12.53
Khe06121	0.56	0.93	0.71	20.49	23.65	21.94	8.44	8.89	8.3	5.06	5.35	5.88	0.39	3.38	4.07	0.06	0.08	0.02
